Year,Month,Monthly_Revenue
2012,07,2066219.4
2012,08,3556875.79
2012,09,3440144.98
2012,10,3201529.96
2012,11,2980494.74
2012,12,3577936.85
2013,01,3075418.29
2013,02,2964192.86
2013,03,3471361.21
2013,04,3262893.52
2013,05,3593528.01
2013,06,2976184.24
2013,07,4275068.43
2013,08,2987993.36
2013,09,2671413.23
2013,10,3112262.1
2013,11,3042197.05
2013,12,3200607.71
2014,01,2710443.83
2014,02,2602658.47
2014,03,3854314.06
2014,04,3340038.66
2014,05,3267340.26
2014,06,3680115.42
2014,07,3178414.39
2014,08,3416670.63
2014,09,2694898.33
2014,10,3125850.74
2014,11,3156916.6
2014,12,3842486.74
2015,01,3421656.38
2015,02,2956201.14
2015,03,3353227.79
2015,04,3207293.13
2015,05,3425430.69
2015,06,2975668.32
2015,07,3636472.82
2015,08,4372619.01
2015,09,3390593.89
2015,10,3456874.61
2015,11,3249120.89
2015,12,3978298.05
2016,01,3658051.75
2016,02,3186904.49
2016,03,3662692.07
2016,04,2975703.27
2016,05,3437922.47
2016,06,3292493.54
2016,07,3669700.17
2016,08,3284796.0
2016,09,3331124.5
2016,10,3262160.38
2016,11,3152849.9
2016,12,3654273.83
2017,01,3446154.51
2017,02,2596633.88
2017,03,3823316.56
2017,04,3018989.74
2017,05,4364953.01
2017,06,2995440.24
2017,07,2885691.81
2017,08,3341024.17
2017,09,2807367.75
2017,10,3969991.48
2017,11,3618368.42
2017,12,3341972.66
2018,01,4051026.57
2018,02,3004052.93
2018,03,2691888.0
2018,04,3087145.36
2018,05,3248964.56
2018,06,3242359.68
2018,07,2901454.46
2018,08,3286136.44
2018,09,3424899.45
2018,10,2789791.96
2018,11,3113044.9
2018,12,3485859.11
2019,01,3151757.32
2019,02,2895952.31
2019,03,3190906.85
2019,04,3578994.95
2019,05,3562283.98
2019,06,3241453.16
2019,07,3163267.4
2019,08,3078770.82
2019,09,3093903.19
2019,10,3346327.82
2019,11,2817565.99
2019,12,3395780.07
2020,01,3423774.29
2020,02,3467644.26
2020,03,3018709.85
2020,04,2655472.57
2020,05,3122293.71
2020,06,2871344.17
2020,07,3643366.59
2020,08,3794089.55
2020,09,3783178.34
2020,10,3060490.64
2020,11,2968195.35
2020,12,3053877.47
2021,01,3474864.06
2021,02,2953519.5
2021,03,3434464.48
2021,04,3255793.01
2021,05,3319860.71
2021,06,3510713.08
2021,07,3917400.08
2021,08,3443530.09
2021,09,3186946.18
2021,10,3071772.86
2021,11,3408890.29
2021,12,4377795.4
2022,01,3591353.72
2022,02,2832321.16
2022,03,3222005.69
2022,04,2628034.83
2022,05,3719270.11
2022,06,3378131.17
2022,07,3358177.3
2022,08,3660257.83
2022,09,2606755.13
2022,10,3717586.61
2022,11,3542815.27
2022,12,3485357.36
2023,01,3171802.16
2023,02,2611606.16
2023,03,3716250.41
2023,04,3474940.3
2023,05,3896544.35
2023,06,3071787.73
2023,07,3350337.36
2023,08,3293158.67
2023,09,3544698.51
2023,10,2923364.35
